machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:02:52.920000+00:00,2025-12-01T22:02:53.284000+00:00,,0.364,102.7,False,True
2호기(창녕),2025-12-01T22:02:53.930000+00:00,2025-12-01T22:02:54.287000+00:00,,0.357,101.7,False,True
2호기(창녕),2025-12-01T22:02:54.950000+00:00,2025-12-01T22:02:55.289000+00:00,,0.339,100.7,False,True
2호기(창녕),2025-12-01T22:02:55.940000+00:00,2025-12-01T22:02:56.293000+00:00,,0.353,100.7,False,True
2호기(창녕),2025-12-01T22:02:56.960000+00:00,2025-12-01T22:02:57.296000+00:00,,0.336,99.7,False,True
2호기(창녕),2025-12-01T22:02:57.950000+00:00,2025-12-01T22:02:58.297000+00:00,,0.347,99.7,False,True
2호기(창녕),2025-12-01T22:02:58.940000+00:00,2025-12-01T22:02:59.299000+00:00,,0.359,98.7,False,True
2호기(창녕),2025-12-01T22:02:59.970000+00:00,2025-12-01T22:03:00.301000+00:00,,0.331,97.7,False,True
2호기(창녕),2025-12-01T22:03:00.950000+00:00,2025-12-01T22:03:01.084000+00:00,,0.134,97.7,False,True
2호기(창녕),2025-12-01T22:03:01.960000+00:00,2025-12-01T22:03:02.014000+00:00,,0.054,96.7,False,True
2호기(창녕),2025-12-01T22:03:02.950000+00:00,2025-12-01T22:03:03.039000+00:00,10.0,0.089,96.7,False,True
2호기(창녕),2025-12-01T22:03:03.970000+00:00,2025-12-01T22:03:04.051000+00:00,10.0,0.081,95.6,False,True
2호기(창녕),2025-12-01T22:03:04.950000+00:00,2025-12-01T22:03:05.053000+00:00,10.0,0.103,95.6,False,True
2호기(창녕),2025-12-01T22:03:05.950000+00:00,2025-12-01T22:03:06.163000+00:00,,0.213,94.6,False,True
2호기(창녕),2025-12-01T22:03:06.970000+00:00,2025-12-01T22:03:07.196000+00:00,,0.226,93.5,False,True
2호기(창녕),2025-12-01T22:03:07.980000+00:00,2025-12-01T22:03:08.198000+00:00,,0.218,93.5,False,True
2호기(창녕),2025-12-01T22:03:08.980000+00:00,2025-12-01T22:03:09.203000+00:00,,0.223,92.3,False,True
2호기(창녕),2025-12-01T22:03:09.950000+00:00,2025-12-01T22:03:10.116000+00:00,10.0,0.166,92.3,False,True
2호기(창녕),2025-12-01T22:03:10.960000+00:00,2025-12-01T22:03:11.120000+00:00,10.0,0.16,91.2,False,True
2호기(창녕),2025-12-01T22:03:11.990000+00:00,2025-12-01T22:03:12.127000+00:00,10.0,0.137,90.0,False,True
2호기(창녕),2025-12-01T22:03:13+00:00,2025-12-01T22:03:13.130000+00:00,10.0,0.13,90.0,False,True
2호기(창녕),2025-12-01T22:03:13.960000+00:00,2025-12-01T22:03:14.133000+00:00,10.0,0.173,88.7,False,True
2호기(창녕),2025-12-01T22:03:15+00:00,2025-12-01T22:03:15.133000+00:00,10.0,0.133,88.7,False,True
2호기(창녕),2025-12-01T22:03:15.970000+00:00,2025-12-01T22:03:16.136000+00:00,10.0,0.166,87.4,False,True
2호기(창녕),2025-12-01T22:03:17+00:00,2025-12-01T22:03:17.140000+00:00,10.0,0.14,87.4,False,True
2호기(창녕),2025-12-01T22:03:17.950000+00:00,2025-12-01T22:03:18.140000+00:00,10.0,0.19,86.2,False,True
2호기(창녕),2025-12-01T22:03:18.970000+00:00,2025-12-01T22:03:19.145000+00:00,10.0,0.175,84.9,False,True
2호기(창녕),2025-12-01T22:03:20+00:00,2025-12-01T22:03:20.261000+00:00,,0.261,84.9,False,True
2호기(창녕),2025-12-01T22:03:20.970000+00:00,2025-12-01T22:03:21.262000+00:00,,0.292,83.6,False,True
2호기(창녕),2025-12-01T22:03:21.950000+00:00,2025-12-01T22:03:22.266000+00:00,,0.316,83.6,False,True
